Name,Value,CSS gradient,RGB
Red,4282601983,#F36F74 #F2585E,#F26369
Orange,4251333119,#FF8E73 #FF7C5C,#FF8567
Tangerine,4271458815,#F8AE5F #F7A145,#F7A752
Yellow,4274264319,#E8CA45 #E5C238,#E7C640
Lime,4292093695,#53CD6B #37C553,#45C95F
Teal,431817727,#57CFB4 #2AC7A8,#49CBAE
Light Blue,1440408063,#5ACCDE #3FC4D9,#51C8DC
Blue,463140863,#24BAF7 #00AFF6,#12B4F6
Navy,946986751,#5874CA #3D5EC2,#4A69C6
Grape,2071128575,#9164C7 #7F4BBE,#8857C2
Purple,3679049983,#C085E6 #B671E2,#BB7BE4
Pink,3980825855,#F694D8 #F583D2,#F58BD5
Gray Blue,255,#9099A3 #7E8994,#87919B
Gray Green,3031607807,#9DA79D #8D998E,#95A095
Gray Brown,2846468607,#A49995 #968984,#9D918C
