ID,iPhone Row,iPhone Column,iPad Row,iPad Column
59452,1,1,1,1
61446,2,1,2,1
61447,3,1,3,1
59678,4,1,1,2
61448,1,2,2,2
61449,2,2,3,2
61450,3,2,1,3
59668,4,2,2,3
59652,1,3,3,3
59648,2,3,1,4
59755,3,3,2,4
59677,4,3,3,4
59828,1,4,1,5
61553,2,4,2,5
59750,3,4,3,5
59863,4,4,1,6
59741,1,5,2,6
59854,2,5,3,6
59845,3,5,1,7
59782,4,5,2,7
61517,1,6,3,7
59835,2,6,1,8
59714,3,6,2,8
59715,4,6,3,8
59861,1,7,1,9
59734,2,7,2,9
59669,3,7,3,9
59717,4,7,1,10
59412,1,8,2,10
59784,2,8,3,10
59733,3,8,1,11
59682,4,8,2,11
59402,1,9,3,11
59780,2,9,1,12
59864,3,9,2,12
59711,4,9,3,12
59681,1,10,1,13
59414,2,10,2,13
59403,3,10,3,13
59779,4,10,1,14
59773,1,11,2,14
59774,2,11,3,14
59836,3,11,1,15
61462,4,11,2,15
59676,1,12,3,15
61570,2,12,1,16
61571,3,12,2,16
59719,4,12,3,16
59865,1,13,1,17
59814,2,13,2,17
59436,3,13,3,17
59446,4,13,1,18
59680,1,14,2,18
59662,2,14,3,18
59817,3,14,1,19
59752,4,14,2,19
59722,1,15,3,19
59519,2,15,1,20
59826,3,15,2,20
59653,4,15,3,20
59721,1,16,1,21
59851,2,16,2,21
59742,3,16,3,21
59818,4,16,1,22
61552,1,17,2,22
59753,2,17,3,22
61479,3,17,1,23
61481,4,17,2,23
59790,1,18,3,23
59839,2,18,1,24
61470,3,18,2,24
61471,4,18,3,24
61472,1,19,1,25
61473,2,19,2,25
61478,3,19,3,25
61474,4,19,1,26
59671,1,20,2,26
59465,2,20,3,26
61442,3,20,1,27
59745,4,20,2,27
59788,1,21,3,27
59730,2,21,1,28
59723,3,21,2,28
59663,4,21,3,28
59664,1,22,1,29
59837,2,22,2,29
59456,3,22,3,29
59762,4,22,1,30
59756,1,23,2,30
59712,2,23,3,30
59649,3,23,1,31
59844,4,23,2,31
59667,1,24,3,31
59754,2,24,1,32
61577,3,24,2,32
61578,4,24,3,32
59841,1,25,1,33
61579,2,25,2,33
61581,3,25,3,33
59763,4,25,1,34
59764,1,26,2,34
59736,2,26,3,34
59848,3,26,1,35
59760,4,26,2,35
59757,1,27,3,35
59770,2,27,1,36
59862,3,27,2,36
59489,4,27,3,36
59511,1,28,1,37
59771,2,28,2,37
59793,3,28,3,37
59798,4,28,1,38
59794,1,29,2,38
59824,2,29,3,38
59772,3,29,1,39
59685,4,29,2,39
59716,1,30,3,39
59748,2,30,1,40
59870,3,30,2,40
59743,4,30,3,40
59825,1,31,1,41
59859,2,31,2,41
59866,3,31,3,41
59789,4,31,1,42
59827,1,32,2,42
59815,2,32,3,42
59660,3,32,1,43
59843,4,32,2,43
61551,1,33,3,43
59657,2,33,1,44
59684,3,33,2,44
59728,4,33,3,44
61554,1,34,1,45
61555,2,34,2,45
61556,3,34,3,45
61557,4,34,1,46
61558,1,35,2,46
61559,2,35,3,46
61560,3,35,1,47
61561,4,35,2,47
61562,1,36,3,47
61563,2,36,1,48
61564,3,36,2,48
59651,4,36,3,48
61565,1,37,1,49
61566,2,37,2,49
61567,3,37,3,49
61568,4,37,1,50
61569,1,38,2,50
59796,2,38,3,50
59746,3,38,1,51
59744,4,38,2,51
59666,1,39,3,51
59822,2,39,1,52
61444,3,39,2,52
61452,4,39,3,52
61453,1,40,1,53
61454,2,40,2,53
61455,3,40,3,53
61456,4,40,1,54
61573,1,41,2,54
61574,2,41,3,54
61576,3,41,1,55
61457,4,41,2,55
61458,1,42,3,55
61459,2,42,1,56
61460,3,42,2,56
61461,4,42,3,56
61464,1,43,1,57
61465,2,43,2,57
61466,3,43,3,57
61582,4,43,1,58
61468,1,44,2,58
61475,2,44,3,58
61476,3,44,1,59
61477,4,44,2,59
61480,1,45,3,59
61482,2,45,1,60
61483,3,45,2,60
61484,4,45,3,60
