Name,ID,Row,Column,Slider
Car,59452,1,1,1
Car Multiple,61446,2,1,1
Bolt Car,61447,3,1,1
Bus,59678,1,2,1
Bus Double Decker,61448,2,2,1
Tram,61449,3,2,1
Tram Tunnel,61450,1,3,1
Bicycle,59668,2,3,1
Motorcycle,59783,3,3,1
Ambulance,59652,1,4,1
Airplane,59648,2,4,1
Sailboat,59823,3,4,1
Home,59755,1,5,1
Church,59688,2,5,1
Buildings,59677,3,5,1
Shopping Cart,59828,1,6,1
Handbag,59750,2,6,1
Grocery Store,59747,3,6,1
Utensils,59863,1,7,1
Fuel Station,59741,2,7,1
Thermometer,59854,3,7,1
Sun,59845,1,8,1
Moon,59782,2,8,1
Moon Circle,61517,3,8,1
Snowflake,59835,1,9,1
Cloud,59714,2,9,1
Cloud Raining,59715,3,9,1
Umbrella,59861,1,10,1
Evergreen Tree,59731,2,10,1
Flower,59468,3,10,1
Fire,59734,1,11,1
Footprints,59738,2,11,1
Directions Signs,59724,3,11,1
Binoculars,59669,1,12,1
Compass,59717,2,12,1
Globe,59412,3,12,1
Mountains,59785,1,13,1
Mountain Picture,59784,2,13,1
Filmstrip,59733,3,13,1
Camera,59682,1,14,2
Movie Camera Filled,59402,2,14,2
Microphone,59780,3,14,2
Video Symbol,59864,1,15,2
Clipboard glyph,59711,2,15,2
Calendar,59681,3,15,2
Chat Bubble,59414,1,16,2
Message Bubbles,59403,2,16,2
Message Bubble,59779,3,16,2
Mail Envelope,59773,1,17,2
Mail Envelope Open,59774,2,17,2
Soaring Paper Airplane,59836,3,17,2
Paper Plane Circle,61462,1,18,2
Briefcase,59676,2,18,2
Folder,59737,3,18,2
Credit Card,59719,1,19,2
Watch,59865,2,19,2
Phone,59814,3,19,2
Laptop,59436,1,20,2
Keyboard,59446,2,20,2
Boxed Keyboard,59494,3,20,2
Calculator,59680,1,21,2
Bar Graph,59662,2,21,2
Printer,59817,3,21,2
Hard Drive,59752,1,22,2
Server,59722,2,22,2
Database,59519,3,22,2
Network Storage,59826,1,23,2
Archive,59653,2,23,2
Cube,59721,3,23,2
Television,59851,1,24,2
Game Controller,59742,2,24,2
Puzzle Piece,59818,3,24,2
Headphones,59753,1,25,2
Headphones Circle,61479,2,25,2
Hearing Aid,61481,3,25,2
Music Beamed Eighth Notes,59790,1,26,2
Speaker Wave1,59839,2,26,2
Speaker Wave2,61470,3,26,2
Speaker Wave3,61471,1,27,2
Speaker Slash,61472,2,27,2
Speaker,61473,3,27,2
Hi-Fi Speaker,61478,1,28,3
TV And Hi-Fi Speaker,61474,2,28,3
Bookshelf,59671,3,28,3
Open Book,59465,1,29,3
Book With Sash,59672,2,29,3
Book Closed,61442,3,29,3
Glasses,59745,1,30,3
Masquerade Mask,59777,2,30,3
Movie Ticket,59788,3,30,3
Drama Masks,59730,1,31,3
Dice,59723,2,31,3
Baseball,59663,3,31,3
Basketball,59664,1,32,3
Soccer Ball,59837,2,32,3
Tennis Ball,59852,3,32,3
Football,59456,1,33,3
Life Preserver,59762,2,33,3
Telescope,59850,3,33,3
Microscope,59781,1,34,3
Horse,59756,2,34,3
Clock,59712,3,34,3
Alarm Clock,59649,1,35,3
Stopwatch,59844,2,35,3
Bell,59667,3,35,3
Sparkling Bell,59838,1,36,3
Heart,59754,2,36,3
Star,59841,3,36,3
Trophy,59860,1,37,3
Light Bulb,59763,2,37,3
Lightning Bolt,59764,3,37,3
Flag,59736,1,38,3
Tag,59848,2,38,3
Key,59760,3,38,3
Hourglass,59757,1,39,3
Lock,59770,2,39,3
Unlock,59862,3,39,3
Battery,59489,1,40,3
Magic Wand (1),59511,2,40,3
Magic Wand (2),59771,3,40,3
Paintbrush,59793,1,41,3
