ID,Row,Column
59452,1,1
61446,1,2
61447,1,3
59678,1,4
61448,1,5
61449,1,6
61450,1,7
59668,1,8
59652,2,1
59648,2,2
59755,2,3
59677,2,4
59828,2,5
61553,2,6
59750,2,7
59863,2,8
59741,3,1
59854,3,2
59845,3,3
59782,3,4
61517,3,5
59835,3,6
59714,3,7
59715,3,8
59861,4,1
59734,4,2
59669,4,3
59717,4,4
59412,4,5
59784,4,6
59733,4,7
59682,4,8
59402,5,1
59780,5,2
59864,5,3
59711,5,4
59681,5,5
59414,5,6
59403,5,7
59779,5,8
59773,6,1
59774,6,2
59836,6,3
61462,6,4
59676,6,5
61570,6,6
61571,6,7
59719,6,8
59865,7,1
59814,7,2
59436,7,3
59446,7,4
59680,7,5
59662,7,6
59817,7,7
59752,7,8
59722,8,1
59519,8,2
59826,8,3
59653,8,4
59721,8,5
59851,8,6
59742,8,7
59818,8,8
61552,9,1
59753,9,2
61479,9,3
61481,9,4
59790,9,5
59839,9,6
61470,9,7
61471,9,8
61472,10,1
61473,10,2
61478,10,3
61474,10,4
59671,10,5
59465,10,6
61442,10,7
59745,10,8
59788,11,1
59730,11,2
59723,11,3
59663,11,4
59664,11,5
59837,11,6
59456,11,7
59762,11,8
59756,12,1
59712,12,2
59649,12,3
59844,12,4
59667,12,5
59754,12,6
61577,12,7
61578,12,8
59841,13,1
61579,13,2
61581,13,3
59763,13,4
59764,13,5
59736,13,6
59848,13,7
59760,13,8
59757,14,1
59770,14,2
59862,14,3
59489,14,4
59511,14,5
59771,14,6
59793,14,7
59798,14,8
59794,15,1
59824,15,2
59772,15,3
59685,15,4
59716,15,5
59748,15,6
59870,15,7
59743,15,8
59825,16,1
59859,16,2
59866,16,3
59789,16,4
59827,16,5
59815,16,6
59660,16,7
59843,16,8
61551,17,1
59657,17,2
59684,17,3
59728,17,4
61554,17,5
61555,17,6
61556,17,7
61557,17,8
61558,18,1
61559,18,2
61560,18,3
61561,18,4
61562,18,5
61563,18,6
61564,18,7
59651,18,8
61565,19,1
61566,19,2
61567,19,3
61568,19,4
61569,19,5
59796,19,6
59746,19,7
59744,19,8
59666,20,1
59822,20,2
61444,20,3
61452,20,4
61453,20,5
61454,20,6
61455,20,7
61456,20,8
61573,21,1
61574,21,2
61576,21,3
61457,21,4
61458,21,5
61459,21,6
61460,21,7
61461,21,8
61464,22,1
61465,22,2
61466,22,3
61582,22,4
61468,22,5
61475,22,6
61476,22,7
61477,22,8
61480,23,1
61482,23,2
61483,23,3
61484,23,4
61486,23,5
61487,23,6
61488,23,7
61489,23,8
61490,24,1
61491,24,2
59806,25,1
59801,25,2
59800,25,3
59799,25,4
59437,25,5
59812,25,6
59808,25,7
61493,25,8
61494,26,1
61495,26,2
61496,26,3
61532,26,4
61533,26,5
61534,26,6
61535,26,7
61536,26,8
61537,27,1
61538,27,2
61539,27,3
61540,27,4
61541,27,5
61542,27,6
61543,27,7
61544,27,8
61545,28,1
61546,28,2
59751,28,3
61585,28,4
59857,28,5
61547,28,6
61548,28,7
61549,28,8
61550,29,1
61440,30,1
59650,30,2
59654,30,3
59655,30,4
59670,30,5
59661,30,6
59819,30,7
59508,30,8
59674,31,1
59675,31,2
59696,31,3
59705,31,4
59693,31,5
59707,31,6
59692,31,7
59708,31,8
59699,32,1
59704,32,2
59702,32,3
59706,32,4
59695,32,5
59703,32,6
59690,32,7
59700,32,8
59697,33,1
59834,33,2
61589,33,3
59725,33,4
59395,33,5
59448,33,6
59512,33,7
59514,33,8
59515,34,1
59709,34,2
59656,34,3
59727,34,4
59791,34,5
59739,34,6
59392,34,7
59445,34,8
61587,35,1
59405,35,2
59758,35,3
59820,35,4
59767,35,5
59849,35,6
59816,35,7
59768,35,8
59769,36,1
59795,36,2
59720,36,3
59830,36,4
59786,36,5
59821,36,6
59846,36,7
59832,36,8
59833,37,1
61583,37,2
59797,37,3
59856,37,4
59853,37,5
61588,37,6
59459,37,7
59461,37,8
59732,38,1
59497,38,2
59867,38,3
61501,38,4
61497,38,5
61498,38,6
61499,38,7
61500,38,8
61502,39,1
61503,39,2
61504,39,3
61505,39,4
61586,39,5
61506,39,6
61507,39,7
61508,39,8
61509,40,1
61510,40,2
61511,40,3
61512,40,4
61513,40,5
61514,40,6
61515,40,7
61518,40,8
61519,41,1
61520,41,2
61521,41,3
61522,41,4
61523,41,5
61524,41,6
61525,41,7
61528,41,8
61529,42,1
61530,42,2
61531,42,3
