Values,RGB,Gradients
4282601983,#F26369,#F36F74 #F2585E
4251333119,#FF8567,#FF8E73 #FF7C5C
4271458815,#F7A752,#F8AE5F #F7A145
4274264319,#E7C640,#E8CA45 #E5C238
4292093695,#45C95F,#53CD6B #37C553
431817727,#49CBAE,#57CFB4 #2AC7A8
1440408063,#51C8DC,#5ACCDE #3FC4D9
463140863,#12B4F6,#24BAF7 #00AFF6
946986751,#4A69C6,#5874CA #3D5EC2
2071128575,#8857C2,#9164C7 #7F4BBE
3679049983,#BB7BE4,#C085E6 #B671E2
3980825855,#F58BD5,#F694D8 #F583D2
255,#87919B,#9099A3 #7E8994
3031607807,#95A095,#9DA79D #8D998E
2846468607,#9D918C,#A49995 #968984
